code,name
A002787,진흥기업2우B
A002790,아모레G
A002795,아모레G우
A00279K,아모레G3우(전환)
A002810,삼영무역
A002820,SUN&L
A002840,미원상사
A002870,신풍
A002880,대유에이텍
A002900,TYM
A002920,유성기업
A002960,한국쉘석유
A002990,금호건설
A002995,금호건설우
A003000,부광약품
A003010,혜인
A003030,세아제강지주
A003060,에이프로젠바이오로직스
A003070,코오롱글로벌
A003075,코오롱글로벌우
A003080,성보화학
A003090,대웅
A003120,일성아이에스
A003160,디아이
A003200,일신방직
A003220,대원제약
A003230,삼양식품
A003240,태광산업
A003280,흥아해운
A003300,한일홀딩스
A003350,한국화장품제조
A003410,쌍용C&E
A003460,유화증권
A003465,유화증권우
A003470,유안타증권
A003475,유안타증권우
A003480,한진중공업홀딩스
A003490,대한항공
A003495,대한항공우
A003520,영진약품
A003530,한화투자증권
A003535,한화투자증권우
A003540,대신증권
A003545,대신증권우
A003547,대신증권2우B
A003550,LG
A003555,LG우
A003560,IHQ
A003570,SNT다이내믹스
A003580,HLB글로벌
A003610,방림
A003620,KG모빌리티
A003650,미창석유
A003670,포스코퓨처엠
A003680,한성기업
A003690,코리안리
A003720,삼영
A003780,진양산업
A003830,대한화섬
A003850,보령
A003920,남양유업
A003925,남양유업우
A003960,사조대림
A004000,롯데정밀화학
A004020,현대제철
A004060,SG세계물산
A004080,신흥
A004090,한국석유
A004100,태양금속
A004105,태양금속우
A004140,동방
A004150,한솔홀딩스
A004170,신세계
A004250,NPC
A004255,NPC우
A004270,남성
A004310,현대약품
A004360,세방
A004365,세방우
A004370,농심
A004380,삼익THK
A004410,서울식품
A004415,서울식품우
A004430,송원산업
A004440,삼일씨엔에스
A004450,삼화왕관
A004490,세방전지
A004540,깨끗한나라
A004545,깨끗한나라우
A004560,현대비앤지스틸
A004690,삼천리
A004700,조광피혁
A004710,한솔테크닉스
A004720,팜젠사이언스
A004770,써니전자
A004800,효성
A004830,덕성
A004835,덕성우
A004840,DRB동일
A004870,티웨이홀딩스
A004890,동일산업
A004910,조광페인트
A004920,씨아이테크
A004960,한신공영
A004970,신라교역
A004980,성신양회
A004985,성신양회우
A004990,롯데지주
A00499K,롯데지주우
A005010,휴스틸
A005030,부산주공
A005070,코스모신소재
A005090,SGC에너지
A005110,한창
A005180,빙그레
A005250,녹십자홀딩스
A005257,녹십자홀딩스2우
A005300,롯데칠성
A005305,롯데칠성우
A005320,국동
A005360,모나미
A005380,현대차
A005385,현대차우
A005387,현대차2우B
A005389,현대차3우B
A005390,신성통상
A005420,코스모화학
A005430,한국공항
A005440,현대지에프홀딩스
A005490,POSCO홀딩스
A005500,삼진제약
A005610,SPC삼립
A005680,삼영전자
A005690,파미셀
A005720,넥센
A005725,넥센우
A005740,크라운해태홀딩스
A005745,크라운해태홀딩스우
A005750,대림B&Co
A005800,신영와코루
A005810,풍산홀딩스
A005820,원림
A005830,DB손해보험
A005850,에스엘
A005870,휴니드
A005880,대한해운
A005930,삼성전자
A005935,삼성전자우
A005940,NH투자증권
A005945,NH투자증권우
A005950,이수화학
A005960,동부건설
A005965,동부건설우
A006040,동원산업
A006060,화승인더
A006090,사조오양
A006110,삼아알미늄
A006120,SK디스커버리
A006125,SK디스커버리우
A006200,한국전자홀딩스
A006220,제주은행
A006260,LS
A006280,녹십자
A006340,대원전선
A006345,대원전선우
A006360,GS건설
A006370,대구백화점
A006380,카프로
A006390,한일현대시멘트
A006400,삼성SDI
A006405,삼성SDI우
A006490,인스코비
A006570,대림통상
A006650,대한유화
A006660,삼성공조
A006740,영풍제지
A006800,미래에셋증권
A006805,미래에셋증권우
A00680K,미래에셋증권2우B
A006840,AK홀딩스
A006880,신송홀딩스
A006890,태경케미컬
A006980,우성
A007070,GS리테일
A007110,일신석재
A007120,미래아이앤지
A007160,사조산업
A007210,벽산
A007280,한국특강
A007310,오뚜기
A007340,DN오토모티브
A007460,에이프로젠
A007540,샘표
A007570,일양약품
A007575,일양약품우
A007590,동방아그로
A007610,선도전기
A007660,이수페타시스
A007690,국도화학
A007700,F&F홀딩스
A007810,코리아써키트
A007815,코리아써우
A00781K,코리아써키트2우B
A007860,서연
A007980,TP
A008040,사조동아원
A008060,대덕
A00806K,대덕1우
A008110,대동전자
A008250,이건산업
A008260,NI스틸
A008350,남선알미늄
A008355,남선알미우
A008420,문배철강
A008490,서흥
A008500,일정실업
A008600,윌비스
A008700,아남전자
A008730,율촌화학
A008770,호텔신라
A008775,호텔신라우
A008870,금비
A008930,한미사이언스
A008970,동양철관
A009070,KCTC
A009140,경인전자
A009150,삼성전기
A009155,삼성전기우
A009160,SIMPAC
A009180,한솔로지스틱스
A009190,대양금속
A009200,무림페이퍼
A009240,한샘
A009270,신원
A009290,광동제약
A009310,참엔지니어링
A009320,대우부품
A009410,태영건설
A009415,태영건설우
A009420,한올바이오파마
A009440,KC그린홀딩스
A009450,경동나비엔
A009460,한창제지
A009470,삼화전기
A009540,HD한국조선해양
A009580,무림P&P
A009680,모토닉
A009770,삼정펄프
A009810,플레이그램
A009830,한화솔루션
A009835,한화솔루션우
A009900,명신산업
A009970,영원무역홀딩스
A010040,한국내화
A010060,OCI홀딩스
A010100,한국무브넥스
A010120,LS ELECTRIC
A010130,고려아연
A010140,삼성중공업
A010400,우진아이엔에스
A010420,한솔PNS
A010580,에스엠벡셀
A010600,웰바이오텍
A010620,HD현대미포
A010640,진양폴리
A010660,화천기계
A010690,화신
A010770,평화홀딩스
A010780,아이에스동서
A010820,퍼스텍
A010950,S-Oil
A010955,S-Oil우
A010960,삼호개발
A011000,진원생명과학
A011070,LG이노텍
A011090,에넥스
A011150,CJ씨푸드
A011155,CJ씨푸드1우
A011170,롯데케미칼
A011200,HMM
A011210,현대위아
A011230,삼화전자
A011280,태림포장
A011300,성안머티리얼스
A011330,유니켐
A011390,부산산업
A011420,갤럭시아에스엠
A011500,한농화성
A011690,와이투솔루션
A011700,한신기계
A011760,현대코퍼레이션
A011780,금호석유
A011785,금호석유우
A011790,SKC
A011810,STX
A011930,신성이엔지
A012030,DB
A012160,영흥
A012170,아센디오
A012200,계양전기
A012205,계양전기우
A012280,영화금속
A012320,경동인베스트
A012330,현대모비스
A012450,한화에어로스페이스
A012510,더존비즈온
A012600,청호ICT
A012610,경인양행
A012630,HDC
A012690,모나리자
A012750,에스원
A012800,대창
A013000,세우글로벌
A013360,일성건설
A013520,화승코퍼레이션
A013570,디와이
A013580,계룡건설
A013700,까뮤이앤씨
A013870,지엠비코리아
A013890,지누스
A014130,한익스프레스
A014160,대영포장
A014280,금강공업
A014285,금강공업우
A014440,영보화학
A014530,극동유화
A014580,태경비케이
A014680,한솔케미칼
A014710,사조씨푸드
A014790,HL D&I
A014820,동원시스템즈
A014825,동원시스템즈우
A014830,유니드
A014910,성문전자
A014915,성문전자우
A014990,인디에프
A015020,이스타코
A015230,대창단조
A015260,에이엔피
A015360,예스코홀딩스
A015590,KIB플러그에너지
A015760,한국전력
A015860,일진홀딩스
A015890,태경산업
A016090,대현
A016360,삼성증권
A016380,KG스틸
A016450,한세예스24홀딩스
A016580,환인제약
A016590,신대양제지
A016610,DB금융투자
A016710,대성홀딩스
A016740,두올
A016800,퍼시스
A016880,웅진
A017040,광명전기
A017180,명문제약
A017370,우신시스템
A017390,서울가스
A017550,수산중공업
A017670,SK텔레콤
A017800,현대엘리베이
A017810,풀무원
A017860,DS단석
A017900,광전자
A017940,E1
A017960,한국카본
A018250,애경산업
A018260,삼성에스디에스
A018470,조일알미늄
A018500,동원금속
A018670,SK가스
A018880,한온시스템
A019170,신풍제약
A019175,신풍제약우
A019180,티에이치엔
A019440,세아특수강
A019490,하이트론
A019680,대교
A019685,대교우B
A020000,한섬
A020120,키다리스튜디오
A020150,롯데에너지머티리얼즈
A020560,아시아나항공
A020760,일진디스플
A021050,서원
A021240,코웨이
A021820,세원정공
A022100,포스코DX
A023000,삼원강재
A023150,MH에탄올
A023350,한국종합기술
A023450,동남합성
A023530,롯데쇼핑
A023590,다우기술
A023800,인지컨트롤스
A023810,인팩
A023960,에쓰씨엔지니어링
A024070,WISCOM
A024090,디씨엠
A024110,기업은행
A024720,콜마홀딩스
A024890,대원화성
A024900,덕양산업
A025000,KPX케미칼
A025530,SJM홀딩스
A025540,한국단자
A025560,미래산업
A025620,제이준코스메틱
A025750,한솔홈데코
A025820,이구산업
A025860,남해화학
A025890,한국주강
A026890,스틱인베스트먼트
A026940,부국철강
A026960,동서
A027410,BGF
A027740,마니커
A027970,한국제지
A028050,삼성E&A
A028100,동아지질
A028260,삼성물산
A02826K,삼성물산우B
A028670,팬오션
A029460,케이씨
A029530,신도리코
A029780,삼성카드
A030000,제일기획
A030190,NICE평가정보
A030200,KT
A030210,다올투자증권
A030610,교보증권
A030720,동원수산
A030790,비케이탑스
A031430,신세계인터내셔날
A031440,신세계푸드
A031820,콤텍시스템
A032350,롯데관광개발
A032560,황금에스티
A032640,LG유플러스
A032830,삼성생명
A033180,KH 필룩스
A033240,자화전자
A033250,체시스
A033270,유나이티드제약
A033530,에스제이지세종
A033780,KT&G
A033920,무학
A034020,두산에너빌리티
A034120,SBS
A034220,LG디스플레이
A034300,신세계건설
A034310,NICE
A034590,인천도시가스
A034730,SK
A03473K,SK우
A034830,한국토지신탁
A035000,HS애드
A035150,백산
A035250,강원랜드
A035420,NAVER
A035510,신세계 I&C
A035720,카카오
A036420,콘텐트리중앙
A036460,한국가스공사
A036530,SNT홀딩스
A036570,엔씨소프트
A036580,팜스코
A037270,YG PLUS
A037560,LG헬로비전
A037710,광주신세계
A039130,하나투어
A039490,키움증권
A039570,HDC랩스
A041650,상신브레이크
A042660,한화오션
A042670,HD현대인프라코어
A042700,한미반도체
A044380,주연테크
A044450,KSS해운
A044820,코스맥스비티아이
A047040,대우건설
A047050,포스코인터내셔널
A047400,유니온머티리얼
A047810,한국항공우주
A049770,동원F&B
A049800,우진플라임
A051600,한전KPS
A051630,진양화학
A051900,LG생활건강
A051905,LG생활건강우
A051910,LG화학
A051915,LG화학우
A052690,한전기술
A053210,스카이라이프
A053690,한미글로벌
A055490,테이팩스
A055550,신한지주
A057050,현대홈쇼핑
A058430,포스코스틸리온
A058650,세아홀딩스
A058730,다스코
A058850,KTcs
A058860,KTis
A060980,HL홀딩스
A063160,종근당바이오
A064350,현대로템
A064960,SNT모티브
A066570,LG전자
A066575,LG전자우
A066970,엘앤에프
A067830,세이브존I&C
A068270,셀트리온
A068290,삼성출판사
A069260,TKG휴켐스
A069460,대호에이엘
A069620,대웅제약
A069640,한세엠케이
A069730,DSR제강
A069960,현대백화점
A070960,용평리조트
A071050,한국금융지주
A071055,한국금융지주우
A071090,하이스틸
A071320,지역난방공사
A071840,롯데하이마트
A071950,코아스
A071970,STX중공업
A072130,유엔젤
A072710,농심홀딩스
A073240,금호타이어
A074610,이엔플러스
A075180,새론오토모티브
A075580,세진중공업
A077500,유니퀘스트
A077970,STX엔진
A078000,텔코웨어
A078520,에이블씨엔씨
A078930,GS
A078935,GS우
A079160,CJ CGV
A079430,현대리바트
A079550,LIG넥스원
A079980,휴비스
A081000,일진다이아
A081660,휠라홀딩스
A082640,동양생명
A082740,한화엔진
A083420,그린케미칼
A084010,대한제강
A084670,동양고속
A084680,이월드
A084690,대상홀딩스
A084695,대상홀딩스우
A084870,TBH글로벌
A085310,엔케이
A085620,미래에셋생명
A086280,현대글로비스
A086790,하나금융지주
A088350,한화생명
A088790,진도
A089470,HDC현대EP
A089590,제주항공
A089860,롯데렌탈
A090080,평화산업
A090350,노루페인트
A090355,노루페인트우
A090370,메타랩스
A090430,아모레퍼시픽
A090435,아모레퍼시픽우
A090460,비에이치
A091090,세원이앤씨
A091810,티웨이항공
A092200,디아이씨
A092220,KEC
A092230,KPX홀딩스
A092440,기신정기
A092780,동양피스톤
A092790,넥스틸
A093050,LF
A093230,이아이디
A093240,형지엘리트
A093370,후성
A094280,효성ITX
A095570,AJ네트웍스
A095720,웅진씽크빅
A096760,JW홀딩스
A096770,SK이노베이션
A096775,SK이노베이션우
A097230,HJ중공업
A097520,엠씨넥스
A097950,CJ제일제당
A097955,CJ제일제당 우
A100090,SK오션플랜트
A100220,비상교육
A100250,진양홀딩스
A100840,SNT에너지
A101140,인바이오젠
A101530,해태제과식품
A102260,동성케미컬
A102280,쌍방울
A102460,이연제약
A103140,풍산
A103590,일진전기
A104700,한국철강
A105560,KB금융
A105630,한세실업
A105840,우진
A107590,미원홀딩스
A108320,LX세미콘
A108670,LX하우시스
A108675,LX하우시스우
A109070,주성코퍼레이션
A111110,호전실업
A111380,동인기연
A111770,영원무역
A112610,씨에스윈드
A114090,GKL
A115390,락앤락
A117580,대성에너지
A118000,에스메디
A119650,KC코트렐
A120030,조선선재
A120110,코오롱인더
A120115,코오롱인더우
A122900,아이마켓코리아
A123690,한국화장품
A123700,SJM
A123890,한국자산신탁
A126560,현대퓨처넷
A126720,수산인더스트리
A128820,대성산업
A128940,한미약품
A129260,인터지스
A130660,한전산업
A133820,화인베스틸
A134380,미원화학
A134790,시디즈
A136490,선진
A137310,에스디바이오센서
A138040,메리츠금융지주
A138490,코오롱ENP
A138930,BNK금융지주
A139130,DGB금융지주
A139480,이마트
A139990,아주스틸
A143210,핸즈코퍼레이션
A145210,다이나믹디자인
A145720,덴티움
A145990,삼양사
A145995,삼양사우
A155660,DSR
A161000,애경케미칼
A161390,한국타이어앤테크놀로지
A161890,한국콜마
A163560,동일고무벨트
A170900,동아에스티
A175330,JB금융지주
A178920,PI첨단소재
A180640,한진칼
A18064K,한진칼우
A181710,NHN
A183190,아세아시멘트
A185750,종근당
A192080,더블유게임즈
A192400,쿠쿠홀딩스
A192650,드림텍
A192820,코스맥스
A194370,제이에스코퍼레이션
A195870,해성디에스
A200880,서연이화
A204320,HL만도
A207940,삼성바이오로직스
A210540,디와이파워
A210980,SK디앤디
A213500,한솔제지
A214320,이노션
A214330,금호에이치티
A214390,경보제약
A214420,토니모리
A226320,잇츠한불
A227840,현대코퍼레이션홀딩스
A229640,LS에코에너지
A234080,JW생명과학
A241560,두산밥캣
A241590,화승엔터프라이즈
A244920,에이플러스에셋
A248070,솔루엠
A248170,샘표식품
A249420,일동제약
A251270,넷마블
A259960,크래프톤
A264900,크라운제과
A26490K,크라운제과우
A267250,HD현대
A267260,HD현대일렉트릭
A267270,HD현대건설기계
A267290,경동도시가스
A267850,아시아나IDT
A268280,미원에스씨
A271560,오리온
A271940,일진하이솔루스
A271980,제일약품
A272210,한화시스템
A272450,진에어
A272550,삼양패키징
A278470,에이피알
A280360,롯데웰푸드
A281820,케이씨텍
A282330,BGF리테일
A282690,동아타이어
A284740,쿠쿠홈시스
A285130,SK케미칼
A28513K,SK케미칼우
A286940,롯데이노베이트
A293480,하나제약
A294870,HDC현대산업개발
A298000,효성화학
A298020,효성티앤씨
A298040,효성중공업
A298050,효성첨단소재
A298690,에어부산
A300720,한일시멘트
A302440,SK바이오사이언스
A306200,세아제강
A307950,현대오토에버
A308170,씨티알모빌리티
A316140,우리금융지주
A317400,자이에스앤디
A322000,HD현대에너지솔루션
A323410,카카오뱅크
A326030,SK바이오팜
A329180,HD현대중공업
A336260,두산퓨얼셀
A33626K,두산퓨얼셀1우
A33626L,두산퓨얼셀2우B
A336370,솔루스첨단소재
A33637K,솔루스첨단소재1우
A33637L,솔루스첨단소재2우B
A339770,교촌에프앤비
A344820,KCC글라스
A352820,하이브
A353200,대덕전자
A35320K,대덕전자1우
A361610,SK아이이테크놀로지
A363280,티와이홀딩스
A36328K,티와이홀딩스우
A372910,한컴라이프케어
A373220,LG에너지솔루션
A375500,DL이앤씨
A37550K,DL이앤씨우
A37550L,DL이앤씨2우(전환)
A377300,카카오페이
A377740,바이오노트
A378850,화승알앤에이
A381970,케이카
A383220,F&F
A383800,LX홀딩스
A38380K,LX홀딩스1우
A402340,SK스퀘어
A403550,쏘카
A446070,유니드비티플러스
A450080,에코프로머티
A450140,코오롱모빌리티그룹
A45014K,코오롱모빌리티그룹우
A452260,한화갤러리아
A45226K,한화갤러리아우
A453340,현대그린푸드
A454910,두산로보틱스
A456040,OCI
A457190,이수스페셜티케미컬
A460850,동국씨엠
A460860,동국제강
A462520,조선내화
A465770,STX그린로지스
A475150,SK이터닉스
